title,date,link
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 30 NOVEMBER 2024,2024-12-02,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=7313090&lang=en-GB&companycode=hk-570&v=redesign
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 OCTOBER 2024,2024-11-05,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=7301194&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-21,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6417482&lang=en-GB&companycode=hk-570&v=redesign
JOINT ANNOUNCEMENT NON-FULFILLMENT OF PRE-CONDITIONS AND LAPSE OF THE PROPOSAL IN RELATION TO (1) PRE-CONDITIONAL PROPOSAL TO PRIVATISE CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED BY THE OFFEROR BY WAY OF A SCHEME OF ARRANGEMENT UNDER SECTION 673 OF THE COMPANIES ORDINANCE AND (2) PROPOSED WITHDRAWAL OF LISTING OF CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED,2024-10-18,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6348938&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-18,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6347220&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-17,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6340902&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-16,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6340168&lang=en-GB&companycode=hk-570&v=redesign
JOINT ANNOUNCEMENT MONTHLY UPDATE IN RELATION TO (1) PRE-CONDITIONAL PROPOSAL TO PRIVATISE CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED BY THE OFFEROR BY WAY OF A SCHEME OF ARRANGEMENT UNDER SECTION 673 OF THE COMPANIES ORDINANCE AND (2) PROPOSED WITHDRAWAL OF LISTING OF CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED,2024-10-16,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6340144&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-15,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6339732&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-14,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6338971&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-10,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6338127&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-09,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6337047&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-08,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6336627&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-07,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6336099&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-04,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6335651&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-03,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6335247&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-10-02,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6334622&lang=en-GB&companycode=hk-570&v=redesign
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 30 SEPTEMBER 2024,2024-10-02,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6334585&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-09-30,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6333086&lang=en-GB&companycode=hk-570&v=redesign
List of Directors and their Role and Function,2024-09-27,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6332450&lang=en-GB&companycode=hk-570&v=redesign
CHANGE OF DIRECTORS AND PRESIDENT,2024-09-27,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6332447&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-09-27,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6332369&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-09-27,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6332368&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-09-27,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6332367&lang=en-GB&companycode=hk-570&v=redesign
Letter to Non-registered Shareholders and Reply Form - Arrangement of Electronic Dissemination of Corporate Communications,2024-09-26,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6329926&lang=en-GB&companycode=hk-570&v=redesign
Letter to Registered Shareholders and Reply Form - Arrangement of Electronic Dissemination of Corporate Communications,2024-09-26,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6329906&lang=en-GB&companycode=hk-570&v=redesign
Interim Report 2024,2024-09-26,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=6329897&lang=en-GB&companycode=hk-570&v=redesign
JOINT ANNOUNCEMENT MONTHLY UPDATE IN RELATION TO (1) PRE-CONDITIONAL PROPOSAL TO PRIVATISE CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED BY THE OFFEROR BY WAY OF A SCHEME OF ARRANGEMENT UNDER SECTION 673 OF THE COMPANIES ORDINANCE AND (2) PROPOSED WITHDRAWAL OF LISTING OF CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED,2024-09-16,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5755796&lang=en-GB&companycode=hk-570&v=redesign
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 AUGUST 2024,2024-09-03,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5750663&lang=en-GB&companycode=hk-570&v=redesign
VOLUNTARY ANNOUNCEMENT THE CATEGORY 3.1 TRADITIONAL CHINESE MEDICINE COMPOUND PREPARATIONS REGULATED AS THE ANCIENT CLASSIC FORMULAE DANGGUI BUXUE TANG GRANULES APPROVED FOR MARKETING,2024-08-29,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5747740&lang=en-GB&companycode=hk-570&v=redesign
ANNOUNCEMENT OF INTERIM RESULTS FOR THE SIX MONTHS ENDED 30 JUNE 2024,2024-08-28,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5747324&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-08-28,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5747069&lang=en-GB&companycode=hk-570&v=redesign
APPOINTMENT OF INDEPENDENT FINANCIAL ADVISER,2024-08-26,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5746231&lang=en-GB&companycode=hk-570&v=redesign
INSIDE INFORMATION PROFIT WARNING,2024-08-21,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5745096&lang=en-GB&companycode=hk-570&v=redesign
INSIDE INFORMATION REMEDIAL TAXES OF SUBSIDIARIES,2024-08-21,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5745094&lang=en-GB&companycode=hk-570&v=redesign
DATE OF BOARD MEETING,2024-08-16,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5743600&lang=en-GB&companycode=hk-570&v=redesign
JOINT ANNOUNCEMENT MONTHLY UPDATE IN RELATION TO (1) PRE-CONDITIONAL PROPOSAL TO PRIVATISE CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED BY THE OFFEROR BY WAY OF A SCHEME OF ARRANGEMENT UNDER SECTION 673 OF THE COMPANIES ORDINANCE AND (2) PROPOSED WITHDRAWAL OF LISTING OF CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED,2024-08-15,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5743193&lang=en-GB&companycode=hk-570&v=redesign
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 JULY 2024,2024-08-02,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5737963&lang=en-GB&companycode=hk-570&v=redesign
JOINT ANNOUNCEMENT MONTHLY UPDATE IN RELATION TO (1) PRE-CONDITIONAL PROPOSAL TO PRIVATISE CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED BY THE OFFEROR BY WAY OF A SCHEME OF ARRANGEMENT UNDER SECTION 673 OF THE COMPANIES ORDINANCE AND (2) PROPOSED WITHDRAWAL OF LISTING OF CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED,2024-07-15,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5729665&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-07-09,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5728192&lang=en-GB&companycode=hk-570&v=redesign
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 30 JUNE 2024,2024-07-02,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=5670252&lang=en-GB&companycode=hk-570&v=redesign
POLL RESULTS OF ANNUAL GENERAL MEETING HELD ON 14 JUNE 2024,2024-06-14,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4755357&lang=en-GB&companycode=hk-570&v=redesign
JOINT ANNOUNCEMENT MONTHLY UPDATE IN RELATION TO (1) PRE-CONDITIONAL PROPOSAL TO PRIVATISE CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED BY THE OFFEROR BY WAY OF A SCHEME OF ARRANGEMENT UNDER SECTION 673 OF THE COMPANIES ORDINANCE AND (2) PROPOSED WITHDRAWAL OF LISTING OF CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED,2024-06-13,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4719955&lang=en-GB&companycode=hk-570&v=redesign
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 MAY 2024,2024-06-04,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4540932&lang=en-GB&companycode=hk-570&v=redesign
"Form of Proxy for use at the Annual General Meeting convened at Conference Room, 4th Floor, Winteam Plaza, 6 Kuiqi Second Road, Chancheng District, Foshan City, Guangdong Province, China, on Friday, 14 June 2024 at 2:30 p.m.",2024-05-22,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4525552&lang=en-GB&companycode=hk-570&v=redesign
NOTICE OF ANNUAL GENERAL MEETING,2024-05-22,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4525548&lang=en-GB&companycode=hk-570&v=redesign
"PROPOSED RE-ELECTION OF DIRECTORS, PROPOSED RE-APPOINTMENT OF AUDITOR AND NOTICE OF ANNUAL GENERAL MEETING",2024-05-22,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4525529&lang=en-GB&companycode=hk-570&v=redesign
JOINT ANNOUNCEMENT MONTHLY UPDATE IN RELATION TO (1) PRE-CONDITIONAL PROPOSAL TO PRIVATISE CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED BY THE OFFEROR BY WAY OF A SCHEME OF ARRANGEMENT UNDER SECTION 673 OF THE COMPANIES ORDINANCE AND (2) PROPOSED WITHDRAWAL OF LISTING OF CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED,2024-05-13,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4520939&lang=en-GB&companycode=hk-570&v=redesign
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 30 APRIL 2024,2024-05-07,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4514614&lang=en-GB&companycode=hk-570&v=redesign
Letter to Non-registered Shareholders and Reply Form - Arrangement of Electronic Dissemination of Corporate Communications,2024-04-26,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4509220&lang=en-GB&companycode=hk-570&v=redesign
Letter to Registered Shareholders and Reply Form - Arrangement of Electronic Dissemination of Corporate Communications,2024-04-26,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4509216&lang=en-GB&companycode=hk-570&v=redesign
"Notification Letter to Shareholder - Notice of publication of 2023 Environmental, Social and Governance Report",2024-04-26,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4509213&lang=en-GB&companycode=hk-570&v=redesign
"Environmental, Social and Governance Report 2023",2024-04-26,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4509212&lang=en-GB&companycode=hk-570&v=redesign
Annual Report 2023,2024-04-26,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4508886&lang=en-GB&companycode=hk-570&v=redesign
JOINT ANNOUNCEMENT MONTHLY UPDATE IN RELATION TO (1) PRE-CONDITIONAL PROPOSAL TO PRIVATISE CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED BY THE OFFEROR BY WAY OF A SCHEME OF ARRANGEMENT UNDER SECTION 673 OF THE COMPANIES ORDINANCE AND (2) PROPOSED WITHDRAWAL OF LISTING OF CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED,2024-04-11,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4495473&lang=en-GB&companycode=hk-570&v=redesign
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 MARCH 2024,2024-04-03,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4492576&lang=en-GB&companycode=hk-570&v=redesign
ANNOUNCEMENT OF ANNUAL RESULTS FOR THE YEAR ENDED 31 DECEMBER 2023,2024-03-21,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4485435&lang=en-GB&companycode=hk-570&v=redesign
List of Directors and their Role and Function,2024-03-21,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4485361&lang=en-GB&companycode=hk-570&v=redesign
RESIGNATION OF MEMBERS OF SENIOR MANAGEMENT AND RE-DESIGNATION OF DIRECTORS,2024-03-21,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4485359&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-03-19,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4482259&lang=en-GB&companycode=hk-570&v=redesign
JOINT ANNOUNCEMENT EXTENSION OF TIME FOR DESPATCH OF THE SCHEME DOCUMENT IN RELATION TO (1) PRE-CONDITIONAL PROPOSAL TO PRIVATISE CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED BY THE OFFEROR BY WAY OF A SCHEME OF ARRANGEMENT UNDER SECTION 673 OF THE COMPANIES ORDINANCE AND (2) PROPOSED WITHDRAWAL OF LISTING OF CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED,2024-03-11,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4477842&lang=en-GB&companycode=hk-570&v=redesign
DATE OF BOARD MEETING,2024-03-11,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4477692&lang=en-GB&companycode=hk-570&v=redesign
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 29 FEBRUARY 2024,2024-03-01,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4473112&lang=en-GB&companycode=hk-570&v=redesign
Disclosure of Dealings under Rule 22 of the Takeovers Code,2024-02-27,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4470567&lang=en-GB&companycode=hk-570&v=redesign
EXCHANGE NOTICE - RESUMPTION OF TRADING,2024-02-22,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4468633&lang=en-GB&companycode=hk-570&v=redesign
JOINT ANNOUNCEMENT (1) PRE-CONDITIONAL PROPOSAL TO PRIVATISE CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED BY THE OFFEROR BY WAY OF A SCHEME OF ARRANGEMENT UNDER SECTION 673 OF THE COMPANIES ORDINANCE (2) PROPOSED WITHDRAWAL OF LISTING OF CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED (3) ESTABLISHMENT OF THE INDEPENDENT BOARD COMMITTEE (4) RESUMPTION OF TRADING IN THE SHARES OF CHINA TRADITIONAL CHINESE MEDICINE HOLDINGS CO. LIMITED,2024-02-21,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4468459&lang=en-GB&companycode=hk-570&v=redesign
TRADING HALT,2024-02-08,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4463652&lang=en-GB&companycode=hk-570&v=redesign
EXCHANGE NOTICE - TRADING HALT,2024-02-08,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4463638&lang=en-GB&companycode=hk-570&v=redesign
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 JANUARY 2024,2024-02-01,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4454486&lang=en-GB&companycode=hk-570&v=redesign
INSIDE INFORMATION POSITIVE PROFIT ALERT,2024-01-28,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4448997&lang=en-GB&companycode=hk-570&v=redesign
MONTHLY RETURN OF EQUITY ISSUER ON MOVEMENTS IN SECURITIES FOR THE MONTH ENDED 31 DECEMBER 2023,2024-01-03,https://asia.tools.euroland.com/tools/Pressreleases/GetPressRelease/?ID=4440122&lang=en-GB&companycode=hk-570&v=redesign
